song_name,Level,Judgment,Elements,Memo,PY_BR,song_no
カナデトモスソラ,24,-,속도 변화_ 보면 정지,"롱노트가 중심인 보면. MASTER 보면과는 달리, 사비의 엇박 배치 1곳을 제외하고는 4분음표까지만 나오기 때문에 리듬은 매우 잡기 쉽다. 마지막의 홀드 배치(敷ホールド)는 오른쪽으로 치우친 금색 홀드를 오른 검지로, 왼쪽으로 치우친 금색 홀드를 왼 검지로 누르면 4개의 손가락으로 잘 처리할 수 있다.",4,149
いちにのさんで,24,-,장시간_ 스윙 리듬_ 극소 노트,"롱노트 주체의 보면이지만 스윙 리듬 배치가 많고, 홀드시키면서 한 손으로 스윙 리듬을 처리하게 하는 배치도 등장한다. 사비 전에는 중지로 홀드시키면서 검지로 탭하게 하는 구속 배치가 있다.",3,292
夜明けと蛍,25,최하위,속도 변화_ 슬라이드 난_ 트레이스 난_ 극소 노트,전반부는 트레이스가 많지만 조금 움직이는 정도로는 문제없다. 후반부부터는 4k 홀드 주체의 보면으로 변화한다. 중앙이 극소 노트인 3점 누르기에 주의가 필요하다.,5,311
ラグトレイン,25,하위,속도 변화_ 극소 노트,"롱노트 주체의 4k 보면. 계단이나 작은 노트 다점 누르기 등도 거의 없기 때문에, 처음 APPEND에 도전하는 보면으로 추천한다. 노트가 1개씩만 흐르더라도, 가장자리에 온 노트는 중지로 처리하는 것이 좋다. 속도 변화가 많아 당황할 수도 있지만, 한 번 누른 롱노트는 사라질 때까지 계속 누르고 있으면 문제없다.",3,469
glow,25,적정,장시간_ 슬라이드 난_ 극소 노트,"전체적으로는 느린 템포이지만, 사비 전의 롱노트 구속 + 32분 배치나 사비 이후의 교차 러시 등 바쁜 배치가 곳곳에 등장한다. 그 중에서도 아웃트로의 작은 노트 32분 → 오른쪽 동시 누르기가 콤보 커터가 된다.",2,339
ノマド,25,적정,스윙 리듬_ 속도 변화_ 보면 정지_ 슬라이드 난_ 극소 노트_ 계단,"전체적으로 느린 데다가 유도도 확실하기 때문에, APPEND의 교차 배치 입문에 추천한다. 이동량은 크기 때문에, 에임 의식을 강하게 갖는 것이 좋다. 처음의 3점 누르기나, 사비의 「이 밤을 차라리 먹어버려」의 potato가 되어가와 비슷한 배치에도 주의.",4,189
スイートマジック,25,상위,물량_ 계단,"마지막 사비 직전의 계단 → 되돌아오는 계단 → 계단이나 마지막의 4k 홀드 배치 등, 다지(多指) 실력이 필요한 지(손가락) 처리 배치가 주요 난이도 요소이다. B멜로디에는 교차 배치나 인접 동시 누르기 등 APPEND 보면에서 자주 출현하는 배치가 집중되어 있기 때문에, 저BPM인 이 보면에서 연습하는 것도 좋다.",-4,41
Tell Your World,25,상위,속도 변화_ 슬라이드 난_ 개인차,"★공략 정보 있음. 시작부터 4점 누르기 홀드가 연속해서 날아오지만, 종점이 트레이스 노트로 되어 있어 타이밍 좋게 손을 뗄 필요는 없다. 사비에서는 시점부터 크게 휘어지는 2개의 인접 롱노트가 등장하지만, 4점 누르기 홀드를 누를 때와 같은 위치에 4개의 손가락으로 전체 누르기(全押し)를 함으로써 트레이스하지 않고도 처리할 수 있다.",3,1
potatoになっていく,25,상위,스윙 리듬_ 시인 난_ 슬라이드 난_ 종점 판정,"★공략 정보 있음. EXPERT나 MASTER와는 달리 8분 단위의 음 취하기가 중심인 보면으로, 교차 배치가 빈번하게 출현한다. 사비 후반의 교차는 롱노트가 2개로 되어 있어, 최소한 3개의 손가락이 필요하다. 또한 인트로와 아웃트로의 배치도 유사하지만, 아웃트로에서는 1개의 롱노트와 동색의 인접 2개 롱노트가 혼재되어 있다. 따라서 2개로 눌러야 하는 곳을 외워두는 것이 좋다.",5,52
Happy Halloween,26,하위,스윙 리듬_ 종점 판정,"MASTER 보면에서 완전히 바뀌어 전체적으로 밀도가 절제되어 있어 콤보를 잇기는 쉽지만, 리듬의 난이도는 건재하다. 3점 이상의 동시 누르기가 적고, 롱노트 종점에 주의하면 2개의 손가락으로도 무리 없이 대부분을 처리할 수 있으므로 APPEND 보면 입문으로도 추천한다.",3,172
アイディスマイル,26,적정,변박자_ 슬라이드 난_ 극소 노트_ 종점 판정_ 개인차,"A멜로디 일부를 제외하고 16분이 없어, 운지법을 짜면 상당히 쉬워진다. 사람에 따라서는 2개 손가락으로 처리하는 편이 더 쉬운 배치도 있기 때문에, 손가락 개수를 잘 바꿔가며 처리하는 것이 좋다. 또한, 간주 종반부터 마지막 사비 전까지의 4k 홀드를 제외한 모든 롱노트에 종점 판정이 있다. 보면의 독자성이 강하기 때문인지 개인차가 큰 편이다.",6,116
いーあるふぁんくらぶ,26,적정,플릭 난_ 극소 노트_ 트릴_ 계단,"2연 계단이나 동시 누르기 트릴, 교차 배치 등 기초적인 다지(多指) 배치가 많이 등장한다. 인접 플릭이나 작은 노트가 빠지지 않도록 주의가 필요하다.",-3,174
妄想感傷代償連盟,26,적정,슬라이드 난_ 트릴,"A멜로디의 3타 배치나 1절 사비의 구분하여 눌러야 하는 봉오도리 배치, 간주의 계단이나 구속 트릴 등 다지 실력이 필요한 배치가 많이 등장한다. 템포가 느리고 교차 배치도 없기 때문에, 지(손가락) 처리를 연습하는 데 최적이다.",-4,194
アイムマイン,26,상위,장시간_ 시인 난_ 슬라이드 난_ 계단,"글자 형태의 롱노트가 많은 보면이라 당황하기 쉽지만, 외관상으로 복잡해 보이는 것에는 중간 판정이 없다. 글자와 함께 흘러오는 인접 동시 누르기가 보기 어렵지만, 직후에 탭이 내려오는 일은 없으므로 전체 누르기를 하면 편하다. 계단 배치도 많고, 중반에는 2번 되돌아오는 4k 계단 배치가 있다.",1,368
Color of Drops,26,상위,속도 변화_ 트릴_ 계단,"3점 탭이 많지만, 전후 간격이 넓어 4점 누르기로 처리해도 문제없다. 사비 후반에는 3연 한 손 트릴 배치나 왼쪽에서 흘러오는 4k 계단이 있어, 상당한 다지 기술이 요구된다.",-3,89
ヴァンパイア,27,하위,극소 노트_ 계단,"배치가 조금 복잡해져 있으며, 중지로 롱노트를 누르면서 검지로 탭노트를 처리하는 장면도 나온다. 다지(多指)에 익숙하지 않은 사람은 계단을 2개 손가락으로 처리하는 것도 한 가지 방법이다.",-2,213
39みゅーじっく！,27,하위,계단,"전체적으로 솔직한 보면이지만, 한 손을 구속하면서 동시 누르기 처리가 요구되며, 초반과 사비 전 두 곳에서 4K 계단이 연속으로 내려오므로 주의가 필요하다.",-4,45
グッバイ宣言,27,적정,슬라이드 난_ 계단,"곡 전체를 통틀어 교차 배치가 많지만, potato가 되어가와 비교해 롱노트가 가늘어 정확하게 트레이스하려는 의식도 필요하다. 다점 누르기는 적지만, 계단 배치가 많으므로 손가락 처리가 가능하면 좋다.",0,198
少女レイ,27,적정,장시간_ 속도 변화_ 보면 정지_ 슬라이드 난_ 개인차,"★공략 정보 있음. 곡 전체를 통해 교차 배치가 빈번하게 출현하기 때문에, 교차에 대한 내성 유무에 따라 체감 난이도가 크게 변화한다. A멜로디의 건널목을 본뜬 배치는 교차나 약지를 사용하지 않을 경우, 2개의 초록 롱노트 시점을 양 검지, 왼쪽의 금색 탭노트를 왼 중지로 처리하는 운지법을 고정해야 한다. 포스트 코러스에는 3연 인접 동시 누르기나 홀드 구속 배치 등, 교차 외의 실력이 필요한 배치도 등장한다.",5,169
Supernova,27,적정,스윙 리듬_ 슬라이드 난,"롱노트 구속이 많은 보면. 롱노트의 배치는 가능한 유도대로 처리하는 것이 좋지만, 노트 폭이 넓어 어느 정도 전체 누르기를 해도 문제없다. 전체적으로 금색 롱노트의 시인성이 나쁜 편이다.",4,457
トワイライトライト,27,적정,스윙 리듬_ 슬라이드 난,"롱노트가 중심인 보면으로 롱노트 구속이나 롱노트를 엮은 스위칭이 많다. 요구되는 기술 자체는 단순한 것이 많지만, 운지법이 알기 어려운 곳이 많아 초견에는 어렵게 느끼기 쉽다. 2개 손가락 배치로 대체 가능한 곳도 많으므로, 일단 자신만의 운지법을 정립하고 도전하는 것이 좋다.",5,384
ぼくのかみさま,27,적정,리듬 난_ 극소 노트_ 트릴,"EXPERT나 MASTER와 마찬가지로, 간주나 아웃트로의 뒷박 리듬에 익숙해질 필요가 있다. 특히 아웃트로는 뒷박 탭에서 3점 누르기와 트릴에서 3점 누르기가 번갈아 내려오지만, 같은 운지법의 반복으로 처리할 수 있으므로 리듬과 노트를 잡는 손을 외워두는 것이 좋다.",2,548
星を繋ぐ,27,적정,계단,"3점 누르기나 계단, 스위칭 등의 기술이 많이 요구되는 보면. MASTER 보면에도 비슷한 배치가 있는 사비 후반의 교차 배치는, 스위칭할 경우 2번째 금색 노트를 표식으로 삼는 것이 좋다.",-2,375
いかないで,27,상위,극소 노트,"BPM 191의 8분 음표 주체 보면으로, 16분 배치(고속 연타)는 나오지 않는다. 전체 누르기로도 통과 가능하여 휘말리는 일은 거의 없지만, 작은 동시 누르기가 빠지기 쉬우므로 주의가 필요하다.",-1,120
